number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency,pos_tokens,reason
3061,ouvertement,none,adv,"openly, overtly",* il a parlé assez ouvertement -- he spoke openly enough,il a parlé assez ouvertement,5,he spoke openly enough,81,240,81 | 240,adv,no_noun_verb_adj_bucket
3066,longuement,Adverbs – differences across registers,adv,at length,"* elle m'a longuement regardé, sans colère -- she looked at me for a long time, without anger","elle m'a longuement regardé, sans colère",6,"she looked at me for a long time, without anger",71,385,71 | 385,adv,no_noun_verb_adj_bucket
3115,véritablement,none,adv,"truly, really","* elle me démolit, véritablement. elle vous démolit? -- she destroys me, really. does she destroy you?","elle me démolit, véritablement. elle vous démolit?",7,"she destroys me, really. does she destroy you?",71,378,71 | 378,adv,no_noun_verb_adj_bucket
3116,parallèlement,Adverbs – differences across registers,adv,"in parallel, similarly",* j'ai toujours mené parallèlement le travail poétique et le travail social -- I always kept my poetic work and social work in parallel,j'ai toujours mené parallèlement le travail poétique et le travail social,11,I always kept my poetic work and social work in parallel,70,393,70 | 393,adv,no_noun_verb_adj_bucket
3170,quelquefois,Adverbs – differences across registers,adv,sometimes,* quelquefois je pense qu'il a raison -- sometimes I think he's right,quelquefois je pense qu'il a raison,6,sometimes I think he's right,56,613+l -n -s,56 | 613+l -n -s,adv,no_noun_verb_adj_bucket
3198,manifestement,none,adv,"manifestly, clearly",* elle a manifestement bénéficié d'un large soutien -- she clearly enjoyed widespread support,elle a manifestement bénéficié d'un large soutien,7,she clearly enjoyed widespread support,76,293,76 | 293,adv,no_noun_verb_adj_bucket
3200,littéralement,none,adv,literally,* les radiations vont littéralement cuire la planète -- radiation will literally cook the planet,les radiations vont littéralement cuire la planète,7,radiation will literally cook the planet,81,223,81 | 223,adv,no_noun_verb_adj_bucket
3222,quiconque,none,pro,"whoever, anyone who",* je donnerais ma chemise à quiconque en aurait besoin -- I would give my shirt to anyone who needed it,je donnerais ma chemise à quiconque en aurait besoin,9,I would give my shirt to anyone who needed it,72,342,72 | 342,pro,no_noun_verb_adj_bucket
3242,doucement,Adverbs – differences across registers,adv,"gently, softly",* il a refermé la porte tout doucement -- he closed the door very gingerly,il a refermé la porte tout doucement,7,he closed the door very gingerly,55,615+l -n,55 | 615+l -n,adv,no_noun_verb_adj_bucket
3243,quoique,none,conj,"although, though","* je n'écrirai plus, quoique j'en souffre -- I don't write any more, though I suffer because of it","je n'écrirai plus, quoique j'en souffre",6,"I don't write any more, though I suffer because of it",67,412+l,67 | 412+l,conj,no_noun_verb_adj_bucket
3256,durement,none,adv,"harshly, severely","* nous avons assez durement vécu, en tant que nation -- we have lived quite a harsh life, as a nation","nous avons assez durement vécu, en tant que nation",9,"we have lived quite a harsh life, as a nation",78,248,78 | 248,adv,no_noun_verb_adj_bucket
3318,fermement,none,adv,firmly,* nous croyons fermement en ce principe -- we firmly believe in this principle,nous croyons fermement en ce principe,6,we firmly believe in this principle,74,301,74 | 301,adv,no_noun_verb_adj_bucket
3340,difficilement,none,adv,with difficulty,* leur insatiabilité les rend parfois difficilement supportables -- sometimes their instability renders them barely tolerable,leur insatiabilité les rend parfois difficilement supportables,7,sometimes their instability renders them barely tolerable,74,286,74 | 286,adv,no_noun_verb_adj_bucket
3349,brièvement,Adverbs – differences across registers,adv,briefly,"* messieurs, je voudrais intervenir très brièvement -- sirs, may I interrupt briefly","messieurs, je voudrais intervenir très brièvement",6,"sirs, may I interrupt briefly",72,319,72 | 319,adv,no_noun_verb_adj_bucket
3394,automatiquement,Adverbs – differences across registers,adv,automatically,* les résultats seront automatiquement enregistrés -- the results will be automatically stored,les résultats seront automatiquement enregistrés,5,the results will be automatically stored,72,308,72 | 308,adv,no_noun_verb_adj_bucket
3410,fréquemment,none,adv,frequently,* les victimes sont fréquemment des femmes -- the victims are often women,les victimes sont fréquemment des femmes,6,the victims are often women,80,211,80 | 211,adv,no_noun_verb_adj_bucket
3420,hautement,none,adv,highly,* c'est hautement improbable -- that's highly improbable,c'est hautement improbable,3,that's highly improbable,83,174,83 | 174,adv,no_noun_verb_adj_bucket
3432,respectivement,Adverbs – differences across registers,adv,respectively,* ces deux types de manoeuvres se déroulent respectivement depuis 1976 et 1973 -- these two types of manoeuvres have taken place respectively since 1976 and 1973,ces deux types de manoeuvres se déroulent respectivement depuis 1976 et 1973,12,these two types of manoeuvres have taken place respectively since 1976 and 1973,63,430+n -s,63 | 430+n -s,adv,no_noun_verb_adj_bucket
3497,étroitement,none,adv,closely,* on pourrait penser qu'ils sont étroitement liés -- one might think that they are closely connected,on pourrait penser qu'ils sont étroitement liés,7,one might think that they are closely connected,76,240,76 | 240,adv,no_noun_verb_adj_bucket
3511,nous-mêmes,none,pro,ourselves,* on n'aurait pas fait mieux nous-mêmes -- we wouldn't have done better ourselves,on n'aurait pas fait mieux nous-mêmes,6,we wouldn't have done better ourselves,74,268,74 | 268,pro,no_noun_verb_adj_bucket
3513,via,none,prep,via,* j'ai déjà fait des interviews via Internet -- I have already been interviewed over the Internet,j'ai déjà fait des interviews via Internet,7,I have already been interviewed over the Internet,65,384,65 | 384,prep,no_noun_verb_adj_bucket
3516,sincèrement,none,adv,sincerely,* je pense sincèrement qu'il est un type bien -- I sincerely think he's a decent fellow,je pense sincèrement qu'il est un type bien,8,I sincerely think he's a decent fellow,72,294-n +s,72 | 294-n +s,adv,no_noun_verb_adj_bucket
3529,volontairement,none,adv,"voluntarily, willingly","* volontairement, je fermai les yeux -- willingly, I closed my eyes","volontairement, je fermai les yeux",5,"willingly, I closed my eyes",82,169,82 | 169,adv,no_noun_verb_adj_bucket
3537,habituellement,none,adv,"usually, generally",* les groupes sont habituellement composés de huit élèves -- the groups are usually made up of eight students,les groupes sont habituellement composés de huit élèves,8,the groups are usually made up of eight students,72,284,72 | 284,adv,no_noun_verb_adj_bucket
3538,quasiment,Adverbs – differences across registers,adv,"almost, early",* il a quasiment tout gagné -- he almost won everything,il a quasiment tout gagné,5,he almost won everything,68,340,68 | 340,adv,no_noun_verb_adj_bucket
3555,précédemment,Adverbs – differences across registers,adv,previously,* j'ai développé tout ceci précédemment -- I had already developed this,j'ai développé tout ceci précédemment,5,I had already developed this,71,294,71 | 294,adv,no_noun_verb_adj_bucket
3579,pis,none,"adv,nm(pl)",worse,* les choses vont de mal en pis -- things are going from bad to worse,les choses vont de mal en pis,7,things are going from bad to worse,68,335,68 | 335,adv|nm(pl),moved_from_nouns_contains_adv_or_conj
3587,premièrement,none,adv,first,"* pour nous, jouer, performer est premièrement une passion! -- for us playing, performing is first of all a passion","pour nous, jouer, performer est premièrement une passion!",8,"for us playing, performing is first of all a passion",57,482-n +s,57 | 482-n +s,adv,no_noun_verb_adj_bucket
3594,brusquement,Adverbs – differences across registers,adv,"abruptly, suddenly","* je me retournai brusquement, surpris de son silence -- I turned around suddenly, surprised by her silence","je me retournai brusquement, surpris de son silence",8,"I turned around suddenly, surprised by her silence",53,551+l -s,53 | 551+l -s,adv,no_noun_verb_adj_bucket
3647,soigneusement,none,adv,"tidily, neatly, carefully",* j'ai soigneusement examiné le document -- I examined the document carefully,j'ai soigneusement examiné le document,5,I examined the document carefully,76,225,76 | 225,adv,no_noun_verb_adj_bucket
3651,physiquement,none,adv,physically,* il était physiquement plus fort que moi -- he was physically stronger than me,il était physiquement plus fort que moi,7,he was physically stronger than me,81,171,81 | 171,adv,no_noun_verb_adj_bucket
3657,politiquement,none,adv,"politically, diplomatically",* il est politiquement correct d'être anti-américain -- it's politically correct to be anti-American,il est politiquement correct d'être anti-américain,6,it's politically correct to be anti-American,72,273,72 | 273,adv,no_noun_verb_adj_bucket
3677,visiblement,none,adv,"obviously, clearly, visibly","* il se tait, se domine visiblement -- he shuts up, visibly controlling himself","il se tait, se domine visiblement",6,"he shuts up, visibly controlling himself",72,271,72 | 271,adv,no_noun_verb_adj_bucket
3697,activement,none,adv,actively,* les évadés sont activement recherchés -- the fugitives are being actively sought,les évadés sont activement recherchés,5,the fugitives are being actively sought,75,239,75 | 239,adv,no_noun_verb_adj_bucket
3730,deuxièmement,none,adv,secondly,"* deuxièmement, ce n'est pas ma faute -- second, it's not my fault","deuxièmement, ce n'est pas ma faute",6,"second, it's not my fault",55,483-l -n +s,55 | 483-l -n +s,adv,no_noun_verb_adj_bucket
3739,vraisemblablement,Adverbs – differences across registers,adv,most probably,* les prix resteront vraisemblablement stables -- the prices will likely remain stable,les prix resteront vraisemblablement stables,5,the prices will likely remain stable,75,233,75 | 233,adv,no_noun_verb_adj_bucket
3796,là-dedans,none,adv,"inside, in it",* maintenant rentre là-dedans et fais-moi du thé -- now go back inside and make me some tea,maintenant rentre là-dedans et fais-moi du thé,7,now go back inside and make me some tea,61,384-n +s,61 | 384-n +s,adv,no_noun_verb_adj_bucket
3800,par-dessus,Adverbs – differences across registers,adv,over,* elle voulait un enfant par-dessus tout -- she wanted a child more than anything,elle voulait un enfant par-dessus tout,6,she wanted a child more than anything,62,375+l -n,62 | 375+l -n,adv,no_noun_verb_adj_bucket
3843,différemment,none,adv,differently,* les femmes ont voté différemment de leurs maris -- the women voted differently from their husbands,les femmes ont voté différemment de leurs maris,8,the women voted differently from their husbands,72,243+s,72 | 243+s,adv,no_noun_verb_adj_bucket
3857,dorénavant,none,adv,"from now on, henceforth",* j'écrirai dorénavant sur les deux côtés de la page -- from now on I will write on both sides of the page,j'écrirai dorénavant sur les deux côtés de la page,9,from now on I will write on both sides of the page,80,162,80 | 162,adv,no_noun_verb_adj_bucket
3860,radicalement,none,adv,radically,"* aujourd'hui, la situation est radicalement différente -- today, the situation is radically different","aujourd'hui, la situation est radicalement différente",6,"today, the situation is radically different",77,191,77 | 191,adv,no_noun_verb_adj_bucket
3871,hé,none,intj,hey,"* hé, les gars, regardez par ici -- hey, guys, look over here","hé, les gars, regardez par ici",6,"hey, guys, look over here",46,585-n +s,46 | 585-n +s,intj,no_noun_verb_adj_bucket
3902,nullement,Adverbs – differences across registers,adv,not in the least,* il n'est nullement indispensable -- he's by no means indispensable,il n'est nullement indispensable,4,he's by no means indispensable,69,275,69 | 275,adv,no_noun_verb_adj_bucket
3909,terriblement,none,adv,"terribly, awfully",* je suis terriblement navré -- I'm terribly embarrassed,je suis terriblement navré,4,I'm terribly embarrassed,81,157,81 | 157,adv,no_noun_verb_adj_bucket
3940,autrui,none,pro,others,* vous ne pouvez pas les louer à autrui -- you're not allowed to rent them to others,vous ne pouvez pas les louer à autrui,8,you're not allowed to rent them to others,71,242,71 | 242,pro,no_noun_verb_adj_bucket
3952,hélas,none,intj,alas,"* hélas, je ne pourrai pas -- alas, I won't be able to","hélas, je ne pourrai pas",5,"alas, I won't be able to",71,248,71 | 248,intj,no_noun_verb_adj_bucket
3962,attentivement,none,adv,"attentively, carefully, closely",* écoute-moi attentivement -- listen to me carefully,écoute-moi attentivement,2,listen to me carefully,65,307+s,65 | 307+s,adv,no_noun_verb_adj_bucket
3965,au-dessous,Adverbs – differences across registers,adv,underneath,* la température descend au-dessous de -40 -- the temperature is falling below -- 40,la température descend au-dessous de -40,6,the temperature is falling below -- 40,57,396-s,57 | 396-s,adv,no_noun_verb_adj_bucket
3969,entre-temps,none,"adv,nm(pl)","meanwhile, in the meantime","* entre-temps, la population vieillit et augmente -- in the meantime the population is aging and increasing","entre-temps, la population vieillit et augmente",6,in the meantime the population is aging and increasing,76,198,76 | 198,adv|nm(pl),moved_from_nouns_contains_adv_or_conj
4009,carrément,none,adv,"completely, directly, straight out","* ici, on passe carrément par-dessus la tête des syndicats -- here, frankly, we go over the heads of the unions","ici, on passe carrément par-dessus la tête des syndicats",9,"here, frankly, we go over the heads of the unions",71,235+s,71 | 235+s,adv,no_noun_verb_adj_bucket
4015,économiquement,Adverbs – differences across registers,adv,economically,* ce sont des régions qui actuellement explosent économiquement -- these are regions that are currently exploding with economic activity,ce sont des régions qui actuellement explosent économiquement,8,these are regions that are currently exploding with economic activity,73,217,73 | 217,adv,no_noun_verb_adj_bucket
4023,efficacement,none,adv,"efficiently, effectively",* nous avons toujours travaillé efficacement ensemble -- we have always worked effectively together,nous avons toujours travaillé efficacement ensemble,6,we have always worked effectively together,70,250,70 | 250,adv,no_noun_verb_adj_bucket
4057,sensiblement,Adverbs – differences across registers,adv,"approximately, more or less, noticeably",* le gouvernement fédéral a réduit sensiblement sa contribution -- the federal government reduced its contribution sizably,le gouvernement fédéral a réduit sensiblement sa contribution,8,the federal government reduced its contribution sizably,63,321+n,63 | 321+n,adv,no_noun_verb_adj_bucket
4078,explicitement,none,adv,explicitly,* se séparer explicitement de l'amour -- to separate oneself explicitly from love,se séparer explicitement de l'amour,5,to separate oneself explicitly from love,76,186,76 | 186,adv,no_noun_verb_adj_bucket
4090,simultanément,Adverbs – differences across registers,adv,simultaneously,* je répondrai donc aux deux questions simultanément -- so I will answer both questions at the same time,je répondrai donc aux deux questions simultanément,7,so I will answer both questions at the same time,66,278,66 | 278,adv,no_noun_verb_adj_bucket
4091,techniquement,none,adv,technically,* je ne te connais pas ... techniquement -- I don't know you ... technically,je ne te connais pas ... techniquement,7,I don't know you ... technically,82,129,82 | 129,adv,no_noun_verb_adj_bucket
4096,délibérément,none,adv,deliberately,* il marcha délibérément vers la porte -- he strode deliberately towards the door,il marcha délibérément vers la porte,6,he strode deliberately towards the door,80,153,80 | 153,adv,no_noun_verb_adj_bucket
4165,alentour,none,adv,"around, round about",* il n'y avait personne aux alentours immédiats -- there was nobody in the immediate vicinity,il n'y avait personne aux alentours immédiats,7,there was nobody in the immediate vicinity,73,200,73 | 200,adv,no_noun_verb_adj_bucket
4181,quotidiennement,none,adv,"daily, every day",* les gangs font la manchette presque quotidiennement -- gangs make the headlines almost every day,les gangs font la manchette presque quotidiennement,7,gangs make the headlines almost every day,74,198,74 | 198,adv,no_noun_verb_adj_bucket
4252,initialement,Adverbs – differences across registers,adv,initially,"* initialement, cette opération devait être amicale -- at first, this operation was supposed to be friendly","initialement, cette opération devait être amicale",6,"at first, this operation was supposed to be friendly",66,265+n,66 | 265+n,adv,no_noun_verb_adj_bucket
4266,mutuellement,none,adv,"mutually, one another",* ils se sont traités mutuellement de criminels de guerre -- they treated each other like wartime criminals,ils se sont traités mutuellement de criminels de guerre,9,they treated each other like wartime criminals,83,112,83 | 112,adv,no_noun_verb_adj_bucket
4293,partiellement,none,adv,partly,* le ciel était partiellement dégagé -- the skies were partly cloudy,le ciel était partiellement dégagé,5,the skies were partly cloudy,62,292,62 | 292,adv,no_noun_verb_adj_bucket
4296,indépendamment,none,adv,"independently, irrespective of, regardless of",* chaque paquet est traité indépendamment -- each package is processed individually,chaque paquet est traité indépendamment,5,each package is processed individually,69,226,69 | 226,adv,no_noun_verb_adj_bucket
4334,brutalement,none,adv,brutally,* elle referma brutalement la porte -- she slammed the door shut,elle referma brutalement la porte,5,she slammed the door shut,74,184,74 | 184,adv,no_noun_verb_adj_bucket
4335,lourdement,none,adv,heavily,* il m'examina lourdement de la tête aux pieds -- he gave me a thorough inspection from head to foot,il m'examina lourdement de la tête aux pieds,8,he gave me a thorough inspection from head to foot,76,165,76 | 165,adv,no_noun_verb_adj_bucket
4367,delà,Adverbs – differences across registers,adv,"beyond, above, over",* mais je n'irai pas au delà -- but I won't go any farther than that,mais je n'irai pas au delà,6,but I won't go any farther than that,63,276+l,63 | 276+l,adv,no_noun_verb_adj_bucket
4408,aucunement,none,adv,"in no way, not in the least, not at all",* je ne me sens aucunement coupable -- I don't feel at all guilty,je ne me sens aucunement coupable,6,I don't feel at all guilty,73,182,73 | 182,adv,no_noun_verb_adj_bucket
4409,globalement,none,adv,globally,"* globalement, la réponse humanitaire a été positive -- the worldwide humanitarian response was positive","globalement, la réponse humanitaire a été positive",7,the worldwide humanitarian response was positive,62,284-l,62 | 284-l,adv,no_noun_verb_adj_bucket
4417,prochainement,none,adv,"shortly, soon",* prévoyez-vous d'autres séries de concert prochainement? -- are you planning other concert series soon?,prévoyez-vous d'autres séries de concert prochainement?,6,are you planning other concert series soon?,65,251,65 | 251,adv,no_noun_verb_adj_bucket
4497,génétiquement,none,adv,genetically,* nous consommons des aliments génétiquement modifiés -- we consume genetically modified foods,nous consommons des aliments génétiquement modifiés,6,we consume genetically modified foods,55,340-l +s,55 | 340-l +s,adv,no_noun_verb_adj_bucket
4527,conjointement,none,adv,jointly,* nous devons conjointement exercer une pression -- we must exert pressure together,nous devons conjointement exercer une pression,6,we must exert pressure together,73,175,73 | 175,adv,no_noun_verb_adj_bucket
4534,successivement,none,adv,successively,* mes recherches ont successivement porté sur deux domaines -- my research focused sequentially on two areas,mes recherches ont successivement porté sur deux domaines,8,my research focused sequentially on two areas,75,158,75 | 158,adv,no_noun_verb_adj_bucket
4535,assurément,Adverbs – differences across registers,adv,most certainly,"* la thèse se discute, assurément -- the argument is most assuredly being discussed","la thèse se discute, assurément",5,the argument is most assuredly being discussed,74,167,74 | 167,adv,no_noun_verb_adj_bucket
4550,infiniment,Adverbs – differences across registers,adv,infinitely,* votre idée me fait infiniment plaisir -- your idea pleases me infinitely,votre idée me fait infiniment plaisir,6,your idea pleases me infinitely,67,220+l,67 | 220+l,adv,no_noun_verb_adj_bucket
4557,indirectement,none,adv,indirectly,* j'étais impliqué aussi bien directement qu'indirectement -- I was implicated as directly as I was indirectly,j'étais impliqué aussi bien directement qu'indirectement,6,I was implicated as directly as I was indirectly,75,159,75 | 159,adv,no_noun_verb_adj_bucket
4579,continuellement,none,adv,"continually, continuously","* je dors continuellement, et j'ai de la fièvre -- I sleep constantly, and I have a fever","je dors continuellement, et j'ai de la fièvre",8,"I sleep constantly, and I have a fever",78,134,78 | 134,adv,no_noun_verb_adj_bucket
4632,concrètement,none,adv,in concrete terms,* je vous demande concrètement si vous allez prendre des mesures sérieuses -- I ask you concretely if you are going to take serious measures,je vous demande concrètement si vous allez prendre des mesures sérieuses,11,I ask you concretely if you are going to take serious measures,68,206,68 | 206,adv,no_noun_verb_adj_bucket
4644,logiquement,none,adv,logically,"* logiquement, il fallait que cette vie se termine -- logically, this life had to end","logiquement, il fallait que cette vie se termine",8,"logically, this life had to end",78,129,78 | 129,adv,no_noun_verb_adj_bucket
4691,présentement,none,adv,"at present, presently",* nous étudions ce besoin présentement -- we're currently studying this need,nous étudions ce besoin présentement,5,we're currently studying this need,52,338-n +s,52 | 338-n +s,adv,no_noun_verb_adj_bucket
4698,fondamentalement,none,adv,"basically, fundamentally, inherently",* telle est fondamentalement notre position -- fundamentally that is our position,telle est fondamentalement notre position,5,fundamentally that is our position,67,210+s,67 | 210+s,adv,no_noun_verb_adj_bucket
4726,inévitablement,none,adv,inevitably,* le chômage augmenterait inévitablement -- unemployment would inevitably increase,le chômage augmenterait inévitablement,4,unemployment would inevitably increase,77,131,77 | 131,adv,no_noun_verb_adj_bucket
4786,hormis,none,prep,"save, but","* hormis vous, personne n'a vu ce gamin -- except for you, nobody saw this kid","hormis vous, personne n'a vu ce gamin",7,"except for you, nobody saw this kid",76,136,76 | 136,prep,no_noun_verb_adj_bucket
4795,jadis,Adverbs – differences across registers,adv,"formerly, long ago","* jadis, nous étions des esclaves -- long ago, we were slaves","jadis, nous étions des esclaves",5,"long ago, we were slaves",62,239+l -s,62 | 239+l -s,adv,no_noun_verb_adj_bucket
4808,théoriquement,none,adv,theoretically,* l'accès en resterait théoriquement interdit aux femmes seules -- access would theoretically remain forbidden to unaccompanied women,l'accès en resterait théoriquement interdit aux femmes seules,8,access would theoretically remain forbidden to unaccompanied women,76,136,76 | 136,adv,no_noun_verb_adj_bucket
4815,traditionnellement,none,adv,traditionally,"* traditionnellement, le cadre est un manager -- traditionally, the executive is a manager","traditionnellement, le cadre est un manager",6,"traditionally, the executive is a manager",68,192,68 | 192,adv,no_noun_verb_adj_bucket
4818,gratuitement,none,adv,"free, gratuitously",* il nous a tout donné gratuitement -- he gave us everything for free,il nous a tout donné gratuitement,6,he gave us everything for free,77,129,77 | 129,adv,no_noun_verb_adj_bucket
4859,couramment,none,adv,"fluently, commonly",* elle parlait couramment deux autres langues aussi -- she also spoke two other languages fluently,elle parlait couramment deux autres langues aussi,7,she also spoke two other languages fluently,77,126,77 | 126,adv,no_noun_verb_adj_bucket
4882,résolument,none,adv,resolutely,* il faut se tourner résolument vers l'avenir -- you need to be forward-looking,il faut se tourner résolument vers l'avenir,7,you need to be forward-looking,77,124,77 | 124,adv,no_noun_verb_adj_bucket
4917,sévèrement,none,adv,"severely, harshly",* mon père m'aurait sévèrement corrigé -- my father would have severely disciplined me,mon père m'aurait sévèrement corrigé,5,my father would have severely disciplined me,75,137,75 | 137,adv,no_noun_verb_adj_bucket
4938,hum,none,intj,"um, uh","* hum, je suis nerveux, seulement -- uh, I'm just nervous","hum, je suis nerveux, seulement",5,"uh, I'm just nervous",42,411-l -n +s,42 | 411-l -n +s,intj,no_noun_verb_adj_bucket
4965,ha,none,intj,oh,* ha. ha. très drôle -- ha. ha. very funny,ha. ha. très drôle,4,ha. ha. very funny,60,232-n,60 | 232-n,intj,no_noun_verb_adj_bucket
4967,piano,none,"adv,nm",piano,* elle retournait au piano et recommençait à jouer -- she returned to the piano and resumed playing,elle retournait au piano et recommençait à jouer,8,she returned to the piano and resumed playing,61,225-n,61 | 225-n,adv|nm,moved_from_nouns_contains_adv_or_conj
4991,provisoirement,none,adv,"temporarily, provisionally",* je décidai provisoirement de m'en contenter -- I decided to be happy with it for the time being,je décidai provisoirement de m'en contenter,6,I decided to be happy with it for the time being,72,148-s,72 | 148-s,adv,no_noun_verb_adj_bucket
