number,french_lemma,thematic,pos,adverb_type,formation,is_invariable,placement_position,placement_note,placement_example_front,placement_example_end,example_target_form,memory_note,chinese_translation,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency,pos_tokens,reason
1340,évidemment,Adverbs – differences across registers,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Évidemment, il faut continuer.","Il faut continuer; évidemment, il faut rester prudent.",évidemment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,显然；当然,obviously,"* en tout cas, évidemment, elles vous connaissent -- in any case, they obviously know you","en tout cas, évidemment, elles vous connaissent",7,"in any case, they obviously know you",70,1562,70 | 1562,adv,no_noun_verb_adj_bucket
1353,totalement,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est totalement rapide.,Il travaille totalement.,totalement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,完全地,totally,* les tribunaux russes sont totalement engorgés -- the Russian court system is totally swamped,les tribunaux russes sont totalement engorgés,6,the Russian court system is totally swamped,77,1162,77 | 1162,adv,no_noun_verb_adj_bucket
1382,largement,Adverbs – differences across registers,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est largement rapide.,Il travaille largement.,largement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,广泛地；大大地,widely,* on doit payer largement sa part d'impôt -- you should pay the bulk of your taxes,on doit payer largement sa part d'impôt,7,you should pay the bulk of your taxes,77,1129,77 | 1129,adv,no_noun_verb_adj_bucket
1395,uniquement,none,adv,focus/restriction,derived -ment adverb,true,before_focused_element_or_near_verb,Usually before the focused word or near the verb to limit or emphasize part of the sentence.,Il veut uniquement comprendre.,Il parle français uniquement.,uniquement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,仅仅；只,only,* il a survécu uniquement avec la diète anticancéreuse -- he only survived via the anti-cancer diet,il a survécu uniquement avec la diète anticancéreuse,8,he only survived via the anti-cancer diet,77,1117,77 | 1117,adv,no_noun_verb_adj_bucket
1480,au-dessus,none,adv,place,compound adverb / adverbial phrase,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Au-dessus, je reste.",Je reste au-dessus.,au-dessus,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在上方,above,* les avocats ne sont pas au-dessus des lois -- lawyers are not above the law,les avocats ne sont pas au-dessus des lois,8,lawyers are not above the law,63,1789-s,63 | 1789-s,adv,no_noun_verb_adj_bucket
1518,essentiellement,none,adv,focus/restriction,derived -ment adverb,true,before_focused_element_or_near_verb,Usually before the focused word or near the verb to limit or emphasize part of the sentence.,Il veut essentiellement comprendre.,Il parle français essentiellement.,essentiellement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,本质上；主要地,essentially,* votre métier est essentiellement une fonction de médiation -- your trade is essentially a function of mediation,votre métier est essentiellement une fonction de médiation,8,your trade is essentially a function of mediation,77,990,77 | 990,adv,no_noun_verb_adj_bucket
1543,malheureusement,Adverbs – differences across registers,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Malheureusement, il faut continuer.","Il faut continuer; malheureusement, il faut rester prudent.",malheureusement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,不幸地,unfortunately,* il y a malheureusement des criminels et des terroristes -- unfortunately there are criminals and terrorists,il y a malheureusement des criminels et des terroristes,9,unfortunately there are criminals and terrorists,72,1218+s,72 | 1218+s,adv,no_noun_verb_adj_bucket
1545,extrêmement,Adverbs – differences across registers,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est extrêmement rapide.,Il travaille extrêmement.,extrêmement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,极其；非常,extremely,* ce processus a été extrêmement lent -- this process was extremely slow,ce processus a été extrêmement lent,6,this process was extremely slow,71,1259,71 | 1259,adv,no_noun_verb_adj_bucket
1547,voire,Adverbs – differences across registers,adv,connector/logical,simple adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Voire, il faut continuer.","Il faut continuer; voire, il faut rester prudent.",voire,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,甚至,"even, indeed","* deux, trois cent millions. voire plus -- two, three billion. even more.","deux, trois cent millions. voire plus",6,"two, three billion. even more.",74,1104,74 | 1104,adv,no_noun_verb_adj_bucket
1550,effectivement,Adverbs – differences across registers,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Effectivement, il faut continuer.","Il faut continuer; effectivement, il faut rester prudent.",effectivement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,确实；实际上,effectively,* c'est effectivement quelque chose qui nous préoccupe -- indeed that's something we worry about,c'est effectivement quelque chose qui nous préoccupe,7,indeed that's something we worry about,67,1447+s,67 | 1447+s,adv,no_noun_verb_adj_bucket
1559,relativement,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est relativement rapide.,Il travaille relativement.,relativement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,相对地,relatively,* le trafic était dense mais relativement fluide -- the traffic was heavy but relatively free-flowing,le trafic était dense mais relativement fluide,7,the traffic was heavy but relatively free-flowing,74,1105,74 | 1105,adv,no_noun_verb_adj_bucket
1563,réellement,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est réellement rapide.,Il travaille réellement.,réellement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,真正地,really,* elle ne sait pas qui je suis réellement -- she doesn't know who I really am,elle ne sait pas qui je suis réellement,8,she doesn't know who I really am,81,755,81 | 755,adv,no_noun_verb_adj_bucket
1591,guère,Adverbs – differences across registers,adv,negation,negation marker / negative adverb,true,around_or_after_verb,Negation adverbs follow the verb structure. ne usually comes before the conjugated verb; pas/jamais/plus often comes after the conjugated verb or auxiliary.,Il ne parle pas.,Il n'a jamais parlé.,guère,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,几乎不,hardly,* mon travail n'avançait guère -- my job was hardly going anywhere,mon travail n'avançait guère,4,my job was hardly going anywhere,68,1319,68 | 1319,adv,no_noun_verb_adj_bucket
1612,profondément,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est profondément rapide.,Il travaille profondément.,profondément,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,深深地,"profoundly, deeply",* j'en suis profondément heureux -- Iam deeply pleased about it,j'en suis profondément heureux,4,Iam deeply pleased about it,82,691,82 | 691,adv,no_noun_verb_adj_bucket
1629,dessus,none,"adv,nm(pl),prep",place,simple adverb / preposition,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Dessus, je reste.",Je reste dessus.,dessus,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在上面,"above, on top",* je mets mes pieds dessus -- I'm putting my feet on top of it,je mets mes pieds dessus,5,I'm putting my feet on top of it,71,1137,71 | 1137,adv|nm(pl)|prep,moved_from_nouns_contains_adv_or_conj
1633,pratiquement,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est pratiquement rapide.,Il travaille pratiquement.,pratiquement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,实际上；几乎,practically,* ils ont continué de grimper de manière pratiquement ininterrompue -- they continued with their practically uninterrupted climbing,ils ont continué de grimper de manière pratiquement ininterrompue,9,they continued with their practically uninterrupted climbing,78,816,78 | 816,adv,no_noun_verb_adj_bucket
1710,généralement,Adverbs – differences across registers,adv,frequency,derived -ment adverb,true,after_conjugated_verb,"Usually after the conjugated verb. In passé composé, often between the auxiliary and the past participle.",Je généralement travaille.,J'ai généralement travaillé.,généralement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,通常；一般地,generally,* les conditions sont généralement favorables -- the conditions are generally favorable,les conditions sont généralement favorables,5,the conditions are generally favorable,72,1044,72 | 1044,adv,no_noun_verb_adj_bucket
1727,suffisamment,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est suffisamment rapide.,Il travaille suffisamment.,suffisamment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,足够地,sufficiently,* je ne l'ai pas dit suffisamment -- I haven't said it enough,je ne l'ai pas dit suffisamment,6,I haven't said it enough,76,843,76 | 843,adv,no_noun_verb_adj_bucket
1734,apparemment,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Apparemment, il faut continuer.","Il faut continuer; apparemment, il faut rester prudent.",apparemment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,显然；看来,apparently,"* apparemment, ces moulins tournent encore -- apparently, these mills are still turning","apparemment, ces moulins tournent encore",5,"apparently, these mills are still turning",81,631,81 | 631,adv,no_noun_verb_adj_bucket
1750,sûrement,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Sûrement, il faut continuer.","Il faut continuer; sûrement, il faut rester prudent.",sûrement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,肯定地；大概,surely,* quelqu'un a sûrement besoin d'aide -- someone surely needs help,quelqu'un a sûrement besoin d'aide,5,someone surely needs help,75,867-n,75 | 867-n,adv,no_noun_verb_adj_bucket
1766,contrairement,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Contrairement, il faut continuer.","Il faut continuer; contrairement, il faut rester prudent.",contrairement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,相反地,contrary,* contrairement à une idée couramment répandue -- contrary to a commonly held idea,contrairement à une idée couramment répandue,6,contrary to a commonly held idea,78,723,78 | 723,adv,no_noun_verb_adj_bucket
1769,fortement,Adverbs – differences across registers,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est fortement rapide.,Il travaille fortement.,fortement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,强烈地,strongly,"* encore une fois, j'insiste fortement -- again, I strongly insist","encore une fois, j'insiste fortement",5,"again, I strongly insist",73,917,73 | 917,adv,no_noun_verb_adj_bucket
1777,là-bas,Adverbs – differences across registers,adv,place,compound adverb / adverbial phrase,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Là-bas, je reste.",Je reste là-bas.,là-bas,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,那边,"over there, out there",* il y a deux mecs là-bas qui vous cherchent -- there are two guys over there looking for you,il y a deux mecs là-bas qui vous cherchent,9,there are two guys over there looking for you,69,1100-n,69 | 1100-n,adv,no_noun_verb_adj_bucket
1888,régulièrement,none,adv,frequency,derived -ment adverb,true,after_conjugated_verb,"Usually after the conjugated verb. In passé composé, often between the auxiliary and the past participle.",Je régulièrement travaille.,J'ai régulièrement travaillé.,régulièrement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,定期地；经常地,regularly,* elle a promis de venir régulièrement -- she promised to come regularly,elle a promis de venir régulièrement,6,she promised to come regularly,78,666,78 | 666,adv,no_noun_verb_adj_bucket
1965,principalement,Adverbs – differences across registers,adv,focus/restriction,derived -ment adverb,true,before_focused_element_or_near_verb,Usually before the focused word or near the verb to limit or emphasize part of the sentence.,Il veut principalement comprendre.,Il parle français principalement.,principalement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,主要地,"principally, mainly, primarily",* c'est sur les femmes principalement qu'elle a exercé une grande influence -- it's primarily with women that she wields great influence,c'est sur les femmes principalement qu'elle a exercé une grande influence,11,it's primarily with women that she wields great influence,77,639,77 | 639,adv,no_noun_verb_adj_bucket
1975,nécessairement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond nécessairement.,Il a répondu nécessairement.,nécessairement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,必然地；一定,necessarily,* le bien n'est pas nécessairement beau -- what's good is not necessarily beautiful,le bien n'est pas nécessairement beau,6,what's good is not necessarily beautiful,75,707,75 | 707,adv,no_noun_verb_adj_bucket
2010,bien?,Adverbs – differences across registers,adv,manner,simple adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond bien?.,Il a répondu bien?.,bien?,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,好吧；嗯,well,"* bon ... ben il va falloir que je m'y mette -- OK, well I will have to get busy with it",bon ... ben il va falloir que je m'y mette,10,"OK, well I will have to get busy with it",51,1633+s,51 | 1633+s,adv,no_noun_verb_adj_bucket
2018,normalement,Adverbs – differences across registers,adv,frequency,derived -ment adverb,true,after_conjugated_verb,"Usually after the conjugated verb. In passé composé, often between the auxiliary and the past participle.",Je normalement travaille.,J'ai normalement travaillé.,normalement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,通常；正常地,normally,"* normalement, je suis un chien très gentil -- normally, I'm a very gentle dog","normalement, je suis un chien très gentil",7,"normally, I'm a very gentle dog",75,689,75 | 689,adv,no_noun_verb_adj_bucket
2036,naturellement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond naturellement.,Il a répondu naturellement.,naturellement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,自然地,naturally,* elle va naturellement sortir avec des garçons -- naturally she will date guys,elle va naturellement sortir avec des garçons,7,naturally she will date guys,72,789,72 | 789,adv,no_noun_verb_adj_bucket
2055,nettement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond nettement.,Il a répondu nettement.,nettement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,清楚地；明显地,"clearly, distinctly",* il savait nettement ce qu'il devait et voulait faire -- he knew clearly what he needed to do and wanted to do,il savait nettement ce qu'il devait et voulait faire,9,he knew clearly what he needed to do and wanted to do,75,662,75 | 662,adv,no_noun_verb_adj_bucket
2130,spécialement,none,adv,focus/restriction,derived -ment adverb,true,before_focused_element_or_near_verb,Usually before the focused word or near the verb to limit or emphasize part of the sentence.,Il veut spécialement comprendre.,Il parle français spécialement.,spécialement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,特别地,"especially, particularly",* vous aimez les chats? pas spécialement -- you like cats? not particularly,vous aimez les chats? pas spécialement,6,you like cats? not particularly,86,320,86 | 320,adv,no_noun_verb_adj_bucket
2188,forcément,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Forcément, il faut continuer.","Il faut continuer; forcément, il faut rester prudent.",forcément,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,必然地；不可避免地,"without question, inevitably",* les deux ne sont pas forcément liées -- the two aren't necessarily connected,les deux ne sont pas forcément liées,7,the two aren't necessarily connected,69,768,69 | 768,adv,no_noun_verb_adj_bucket
2189,conformément,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Conformément, il faut continuer.","Il faut continuer; conformément, il faut rester prudent.",conformément,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,按照；根据,in accordance,* le débat se déroulera conformément au règlement -- the debate unfolded according to regulations,le débat se déroulera conformément au règlement,7,the debate unfolded according to regulations,56,1204,56 | 1204,adv,no_noun_verb_adj_bucket
2208,là-dessus,Adverbs – differences across registers,adv,place,compound adverb / adverbial phrase,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Là-dessus, je reste.",Je reste là-dessus.,là-dessus,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在这上面；关于这件事,"on top, about it",* j'aimerais connaître son opinion là-dessus -- I would like to know her opinion on the topic,j'aimerais connaître son opinion là-dessus,5,I would like to know her opinion on the topic,72,684-n +s,72 | 684-n +s,adv,no_noun_verb_adj_bucket
2242,franchement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond franchement.,Il a répondu franchement.,franchement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,坦率地,frankly,"* franchement, cela ne m'étonne pas -- frankly that doesn't surprise me","franchement, cela ne m'étonne pas",5,frankly that doesn't surprise me,79,474,79 | 474,adv,no_noun_verb_adj_bucket
2327,purement,none,adv,focus/restriction,derived -ment adverb,true,before_focused_element_or_near_verb,Usually before the focused word or near the verb to limit or emphasize part of the sentence.,Il veut purement comprendre.,Il parle français purement.,purement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,纯粹地,purely,* ma démarche est purement professionnelle -- my interest is purely professional,ma démarche est purement professionnelle,5,my interest is purely professional,79,432,79 | 432,adv,no_noun_verb_adj_bucket
2333,légèrement,Adverbs – differences across registers,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est légèrement rapide.,Il travaille légèrement.,légèrement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,轻微地；轻轻地,"lightly, slightly",* elle baissa légèrement la vitre -- she slightly lowered the window,elle baissa légèrement la vitre,5,she slightly lowered the window,69,690-s,69 | 690-s,adv,no_noun_verb_adj_bucket
2362,aussitôt,Adverbs – differences across registers,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Aussitôt, je travaille.",Je travaille aussitôt.,aussitôt,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,立刻,"straight away, immediately",* on décida aussitôt de dîner ensemble -- we immediately decided to have supper together,on décida aussitôt de dîner ensemble,6,we immediately decided to have supper together,62,878+l -s,62 | 878+l -s,adv,no_noun_verb_adj_bucket
2363,officiellement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond officiellement.,Il a répondu officiellement.,officiellement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,正式地；官方地,officially,* je suis officiellement une étudiante en première année -- I am officially a first-year student,je suis officiellement une étudiante en première année,8,I am officially a first-year student,67,719,67 | 719,adv,no_noun_verb_adj_bucket
2366,personnellement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond personnellement.,Il a répondu personnellement.,personnellement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,亲自；就个人而言,personally,* j'en ai fait personnellement l'expérience -- I have had that experience myself,j'en ai fait personnellement l'expérience,5,I have had that experience myself,71,614+s,71 | 614+s,adv,no_noun_verb_adj_bucket
2384,autrefois,Adverbs – differences across registers,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Autrefois, je travaille.",Je travaille autrefois.,autrefois,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,从前；过去,in the past,* nous nous sommes aimés autrefois -- we loved each other once,nous nous sommes aimés autrefois,5,we loved each other once,68,700+l,68 | 700+l,adv,no_noun_verb_adj_bucket
2389,définitivement,none,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Définitivement, je travaille.",Je travaille définitivement.,définitivement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,最终地；永久地,"definitely, permanently, for good",* je m'étais définitivement métamorphosée en enfant sage -- I was permanently morphed into a well-behaved child,je m'étais définitivement métamorphosée en enfant sage,7,I was permanently morphed into a well-behaved child,79,421,79 | 421,adv,no_noun_verb_adj_bucket
2390,heureusement,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Heureusement, il faut continuer.","Il faut continuer; heureusement, il faut rester prudent.",heureusement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,幸运地,"fortunately, luckily","* heureusement, nous venons juste d'arriver -- luckily we have just arrived","heureusement, nous venons juste d'arriver",5,luckily we have just arrived,73,562,73 | 562,adv,no_noun_verb_adj_bucket
2396,pleinement,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est pleinement rapide.,Il travaille pleinement.,pleinement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,充分地；完全地,"fully, thoroughly",* je suis pleinement d'accord avec elle -- I fully agree with her,je suis pleinement d'accord avec elle,6,I fully agree with her,74,527,74 | 527,adv,no_noun_verb_adj_bucket
2444,librement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond librement.,Il a répondu librement.,librement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,自由地,freely,* seuls les piétons peuvent passer librement -- only pedestrians can pass through freely,seuls les piétons peuvent passer librement,6,only pedestrians can pass through freely,83,313,83 | 313,adv,no_noun_verb_adj_bucket
2491,vivement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond vivement.,Il a répondu vivement.,vivement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,强烈地；热切地,"sharply, brusquely, lively",* le groupe socialiste soutient vivement tous les amendements -- the socialist group strongly supports all the amendments,le groupe socialiste soutient vivement tous les amendements,8,the socialist group strongly supports all the amendments,72,543,72 | 543,adv,no_noun_verb_adj_bucket
2497,debout,Adverbs – differences across registers,adv,manner,simple adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond debout.,Il a répondu debout.,debout,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,站着,standing,"* je ne peux pas rester debout, sans rien faire -- I can't remain standing, doing nothing","je ne peux pas rester debout, sans rien faire",9,"I can't remain standing, doing nothing",60,843+l -n,60 | 843+l -n,adv,no_noun_verb_adj_bucket
2535,rarement,none,adv,frequency,derived -ment adverb,true,after_conjugated_verb,"Usually after the conjugated verb. In passé composé, often between the auxiliary and the past participle.",Je rarement travaille.,J'ai rarement travaillé.,rarement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,很少；罕见地,"rarely, seldom",* ma mère me punissait rarement -- my mother rarely punished me,ma mère me punissait rarement,5,my mother rarely punished me,76,431,76 | 431,adv,no_noun_verb_adj_bucket
2564,constamment,none,adv,frequency,derived -ment adverb,true,after_conjugated_verb,"Usually after the conjugated verb. In passé composé, often between the auxiliary and the past participle.",Je constamment travaille.,J'ai constamment travaillé.,constamment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,不断地；经常地,"constantly, continuously, consistent",* notre corps bouge constamment -- our body moves constantly,notre corps bouge constamment,4,our body moves constantly,75,448,75 | 448,adv,no_noun_verb_adj_bucket
2628,dessous,none,"adv,nm(pl),prep",place,simple adverb / preposition,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Dessous, je reste.",Je reste dessous.,dessous,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在下面,"underneath, below, bottom, underside",* il retira la main de dessous sa chemise -- he pulled his hand out from underneath his shirt,il retira la main de dessous sa chemise,8,he pulled his hand out from underneath his shirt,75,424,75 | 424,adv|nm(pl)|prep,moved_from_nouns_contains_adv_or_conj
2637,lentement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond lentement.,Il a répondu lentement.,lentement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,慢慢地,slowly,* il se mit à rouler lentement le long du trottoir -- he started rolling slowly along the sidewalk,il se mit à rouler lentement le long du trottoir,10,he started rolling slowly along the sidewalk,64,665+l,64 | 665+l,adv,no_noun_verb_adj_bucket
2659,progressivement,Adverbs – differences across registers,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Progressivement, je travaille.",Je travaille progressivement.,progressivement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,逐渐地,progressively,* il commença à perdre progressivement la vue -- he gradually began to lose his sight,il commença à perdre progressivement la vue,7,he gradually began to lose his sight,75,417,75 | 417,adv,no_noun_verb_adj_bucket
2739,exclusivement,none,adv,focus/restriction,derived -ment adverb,true,before_focused_element_or_near_verb,Usually before the focused word or near the verb to limit or emphasize part of the sentence.,Il veut exclusivement comprendre.,Il parle français exclusivement.,exclusivement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,专门地；仅仅,"exclusively, solely",* ils avaient des ventes exclusivement au Japon -- they had sales exclusively in Japan,ils avaient des ventes exclusivement au Japon,7,they had sales exclusively in Japan,78,348,78 | 348,adv,no_noun_verb_adj_bucket
2742,volontiers,Adverbs – differences across registers,adv,manner,simple adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond volontiers.,Il a répondu volontiers.,volontiers,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,乐意地；欣然,"with pleasure, willingly, gladly",* je serais volontiers mort dans cette maison -- I would gladly die in this house,je serais volontiers mort dans cette maison,7,I would gladly die in this house,72,458,72 | 458,adv,no_noun_verb_adj_bucket
